State,"Q-ADD - Heat Flow","Psteam - Phase - Molar Flow (Overall)","O2GFR - Phase - Molar Flow (Vapour Phase)","GFR-OUT - Temperature","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Carbon)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO2)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Methane)","Front_cal - Cell Matrix (F-5)","Front_cal - Cell Matrix (F-8)","Front_cal - Cell Matrix (C-7)","Front_cal - Cell Matrix (A-31)","Front_cal - Cell Matrix (D-31)","Front_cal - Cell Matrix (G-31)","Front_cal - Cell Matrix (I-5)","Front_cal - Cell Matrix (K-5)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO2)","Front_cal - Cell Matrix (M-3)","Front_cal - Cell Matrix (A-13)","Front_cal - Cell Matrix (A-5)","Front_cal - Cell Matrix (D-13)","Front_cal - Cell Matrix (A-25)","Front_cal - Cell Matrix (A-26)","Front_cal - Cell Matrix (A-27)","Front_cal - Cell Matrix (A-28)","Front_cal - Cell Matrix (A-29)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Methane)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)"
,"MW","kgmole/h","kgmole/h","C","kgmole/h","kgmole/h","kgmole/h","kgmole/h","kgmole/h","MW","","","","","","kgmole/h","kg/h","kgmole/h","","","","","","","","","","kgmole/h","kgmole/h","kgmole/h"
"Case 34",0,330,354.2,1300,0.0000,783.2056,232.2825,622.8378,0.0919,89.56,89.56,0.3249,54.26,93.77,39.51,2651,2.793e+004,140.0500,6.164,0.7952,2.416,2.05,0,35.82,0,15.78,2.663,6.2675,869.0296,1781.5099
"Case 35",0,340,355,1300,0.0000,780.5604,234.9298,623.8618,0.0897,89.28,89.28,0.3348,54.14,93.59,39.45,2646,2.788e+004,141.9520,6.247,0.7992,2.42,2.051,0,35.71,0,15.73,2.699,6.0693,867.3192,1778.5304
"Case 36",0,350,355.8,1300,0.0000,777.9308,237.5615,624.8682,0.0876,88.96,88.96,0.3446,53.99,93.4,39.41,2640,2.782e+004,143.8793,6.332,0.8032,2.424,2.05,0,35.58,0,15.67,2.735,5.8688,865.5854,1774.8451
"Case 37",0,360,356.6,1300,0.0000,775.3166,240.1779,625.8570,0.0856,88.62,88.62,0.3545,53.83,93.21,39.38,2635,2.777e+004,145.8150,6.417,0.8072,2.427,2.05,0,35.45,0,15.61,2.772,5.6716,863.8399,1770.8710
"Case 38",0,370,357.4,1300,0.0000,772.7175,242.7790,626.8285,0.0836,88.35,88.35,0.3643,53.71,93.03,39.32,2630,2.771e+004,147.7043,6.5,0.8112,2.432,2.051,0,35.34,0,15.57,2.808,5.4927,862.1224,1767.8678
"Case 39",0,380,358.3,1300,0.0000,770.1333,245.3650,627.7831,0.0817,88.03,88.03,0.3742,53.57,92.84,39.28,2625,2.766e+004,149.6196,6.585,0.8152,2.435,2.05,0,35.21,0,15.51,2.845,5.3118,860.3808,1764.1689
"Case 40",0,390,359.1,1300,0.0000,767.5639,247.9363,628.7208,0.0798,87.69,87.69,0.384,53.41,92.65,39.24,2619,2.76e+004,151.5437,6.669,0.8191,2.438,2.05,0,35.08,0,15.45,2.881,5.1338,858.6273,1760.1853
"Case 41",0,400,359.9,1300,0.0000,765.0091,250.4929,629.6418,0.0780,87.43,87.43,0.3939,53.29,92.47,39.18,2614,2.755e+004,153.4203,6.752,0.8231,2.443,2.051,0,34.97,0,15.4,2.917,4.9724,856.9047,1757.1624
"Case 42",0,410,360.7,1300,0.0000,762.4687,253.0351,630.5465,0.0763,87.11,87.11,0.4037,53.15,92.28,39.13,2609,2.749e+004,155.3238,6.836,0.827,2.446,2.05,0,34.84,0,15.35,2.953,4.8091,855.1570,1753.4535
"Case 43",0,420,361.5,1300,0.0000,759.9425,255.5630,631.4350,0.0746,86.78,86.78,0.4136,52.99,92.08,39.1,2603,2.743e+004,157.2363,6.92,0.8309,2.449,2.05,0,34.71,0,15.29,2.989,4.6485,853.3973,1749.4639
"Case 44",0,430,362.4,1300,0.0000,757.4307,258.0764,632.3081,0.0729,86.51,86.51,0.4234,52.87,91.9,39.03,2598,2.738e+004,159.1000,7.002,0.8348,2.454,2.051,0,34.61,0,15.24,3.025,4.5030,851.6713,1746.4256
"Case 45",0,440,363.2,1300,0.0000,754.9324,260.5764,633.1647,0.0713,86.2,86.2,0.4332,52.73,91.71,38.98,2593,2.732e+004,160.9917,7.085,0.8387,2.457,2.05,0,34.48,0,15.19,3.061,4.3557,849.9191,1742.7097
"Case 46",0,450,364,1300,0.0000,752.4478,263.0626,634.0057,0.0698,85.87,85.87,0.4431,52.58,91.52,38.94,2587,2.726e+004,162.8927,7.169,0.8426,2.46,2.05,0,34.35,0,15.13,3.097,4.2109,848.1548,1738.7167
"Case 47",0,460,364.8,1300,0.0000,749.9767,265.5353,634.8313,0.0682,85.61,85.61,0.4529,52.46,91.34,38.87,2582,2.721e+004,164.7443,7.25,0.8465,2.464,2.051,0,34.25,0,15.08,3.132,4.0797,846.4264,1735.6645
"Case 48",0,470,365.7,1300,0.0000,747.5190,267.9944,635.6416,0.0668,85.31,85.31,0.4628,52.32,91.15,38.83,2577,2.715e+004,166.6241,7.333,0.8503,2.468,2.05,0,34.12,0,15.03,3.168,3.9470,844.6710,1731.9449
"Case 49",0,480,366.5,1300,0.0000,745.0745,270.4403,636.4370,0.0653,84.98,84.98,0.4726,52.17,90.95,38.78,2571,2.709e+004,168.5138,7.416,0.8542,2.471,2.05,0,33.99,0,14.97,3.204,3.8163,842.9035,1727.9517
"Case 50",0,490,367.3,1300,0.0000,742.6432,272.8731,637.2175,0.0639,84.73,84.73,0.4825,52.06,90.77,38.71,2566,2.704e+004,170.3530,7.497,0.858,2.475,2.051,0,33.89,0,14.93,3.239,3.6982,841.1742,1724.8893
"Case 51",0,500,368.2,1300,0.0000,740.2248,275.2928,637.9835,0.0626,84.42,84.42,0.4923,51.92,90.58,38.66,2561,2.698e+004,172.2213,7.579,0.8619,2.478,2.05,0,33.77,0,14.87,3.274,3.5785,839.4170,1721.1683
"Case 52",0,510,369,1300,0.0000,737.8191,277.6998,638.7349,0.0613,84.1,84.1,0.5022,51.77,90.39,38.62,2555,2.693e+004,174.0998,7.662,0.8657,2.481,2.05,0,33.64,0,14.82,3.31,3.4607,837.6475,1717.1768
"Case 53",0,520,369.8,1300,0.0000,735.4261,280.0941,639.4719,0.0600,83.85,83.85,0.512,51.66,90.2,38.54,2550,2.687e+004,175.9270,7.742,0.8695,2.485,2.051,0,33.54,0,14.77,3.345,3.3542,835.9182,1714.1065
"Case 54",0,530,370.6,1300,0.0000,733.0456,282.4759,640.1948,0.0587,83.55,83.55,0.5219,51.52,90.01,38.49,2545,2.681e+004,177.7839,7.824,0.8733,2.489,2.05,0,33.42,0,14.72,3.38,3.2462,834.1602,1710.3861
