State,"Q-ADD - Heat Flow","Psteam - Phase - Molar Flow (Overall)","O2GFR - Phase - Molar Flow (Vapour Phase)","GFR-OUT - Temperature","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Carbon)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-CO2)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)","GFR-OUT - Overall and Phase Comp Molar Flow (Overall-Methane)","Front_cal - Cell Matrix (F-5)","Front_cal - Cell Matrix (F-8)","Front_cal - Cell Matrix (C-7)","Front_cal - Cell Matrix (A-31)","Front_cal - Cell Matrix (D-31)","Front_cal - Cell Matrix (G-31)","Front_cal - Cell Matrix (I-5)","Front_cal - Cell Matrix (K-5)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO2)","Front_cal - Cell Matrix (M-3)","Front_cal - Cell Matrix (A-13)","Front_cal - Cell Matrix (A-5)","Front_cal - Cell Matrix (D-13)","Front_cal - Cell Matrix (A-25)","Front_cal - Cell Matrix (A-26)","Front_cal - Cell Matrix (A-27)","Front_cal - Cell Matrix (A-28)","Front_cal - Cell Matrix (A-29)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Methane)","gas2FT - Overall and Phase Comp Molar Flow (Overall-CO)","gas2FT - Overall and Phase Comp Molar Flow (Overall-Hydrogen)"
,"MW","kgmole/h","kgmole/h","C","kgmole/h","kgmole/h","kgmole/h","kgmole/h","kgmole/h","MW","","","","","","kgmole/h","kg/h","kgmole/h","","","","","","","","","","kgmole/h","kgmole/h","kgmole/h"
"Case 174",0,1730,474.4,1300,0.0000,510.5640,505.0092,655.4699,0.0074,53.89,53.89,1.703,38.29,68.25,29.95,1929,2.033e+004,380.6694,16.75,1.284,2.78,2.051,0,21.56,0,9.496,7.237,0.1140,632.4357,1296.9242
"Case 175",0,1740,475.3,1300,0.0000,509.0859,506.4875,655.1435,0.0073,53.66,53.66,1.713,38.19,68.07,29.88,1924,2.028e+004,382.2650,16.82,1.287,2.781,2.05,0,21.47,0,9.455,7.268,0.1111,630.8179,1293.4686
"Case 176",0,1750,476.2,1300,0.0000,507.6120,507.9615,654.7691,0.0072,53.42,53.42,1.723,38.08,67.89,29.81,1919,2.022e+004,383.8695,16.89,1.29,2.781,2.05,0,21.37,0,9.412,7.298,0.1082,629.1906,1289.8390
"Case 177",0,1760,477,1300,0.0000,506.1434,509.4302,654.5144,0.0071,53.24,53.24,1.733,38,67.73,29.72,1915,2.018e+004,385.3948,16.96,1.293,2.784,2.051,0,21.3,0,9.381,7.327,0.1058,627.6433,1287.1025
"Case 178",0,1770,478,1300,0.0000,504.6785,510.8952,654.1458,0.0069,53.02,53.02,1.743,37.91,67.56,29.65,1910,2.012e+004,386.9708,17.03,1.296,2.785,2.051,0,21.21,0,9.341,7.357,0.1032,626.0445,1283.7170
"Case 179",0,1780,478.8,1300,0.0000,503.2189,512.3549,653.8731,0.0069,52.76,52.76,1.753,37.79,67.37,29.59,1904,2.007e+004,388.6258,17.1,1.299,2.785,2.05,0,21.1,0,9.295,7.389,0.1006,624.3656,1279.9474
"Case 180",0,1790,479.7,1300,0.0000,501.7638,513.8101,653.5958,0.0068,52.55,52.55,1.763,37.7,67.2,29.5,1900,2.002e+004,390.1809,17.17,1.303,2.787,2.05,0,21.02,0,9.259,7.418,0.0983,622.7874,1276.9377
"Case 181",0,1800,480.6,1300,0.0000,500.3124,515.2616,653.2338,0.0066,52.35,52.35,1.772,37.61,67.03,29.42,1895,1.997e+004,391.7236,17.24,1.306,2.789,2.051,0,20.94,0,9.224,7.448,0.0960,621.2216,1273.8348
"Case 182",0,1810,481.5,1300,0.0000,498.8650,516.7091,652.8438,0.0065,52.15,52.15,1.782,37.52,66.87,29.34,1890,1.992e+004,393.2650,17.31,1.309,2.79,2.051,0,20.86,0,9.188,7.477,0.0936,619.6567,1270.7070
"Case 183",0,1820,482.4,1300,0.0000,497.4233,518.1509,652.5690,0.0065,51.9,51.9,1.792,37.41,66.69,29.27,1885,1.987e+004,394.8896,17.38,1.312,2.791,2.05,0,20.76,0,9.145,7.508,0.0914,618.0076,1267.1871
"Case 184",0,1830,483.3,1300,0.0000,495.9851,519.5891,652.2179,0.0064,51.66,51.66,1.802,37.3,66.51,29.21,1880,1.981e+004,396.5095,17.45,1.315,2.791,2.05,0,20.66,0,9.101,7.539,0.0891,616.3629,1263.5421
"Case 185",0,1840,484.2,1300,0.0000,494.5507,521.0237,651.8149,0.0063,51.47,51.47,1.812,37.22,66.34,29.12,1875,1.976e+004,398.0197,17.52,1.318,2.793,2.05,0,20.59,0,9.069,7.567,0.0870,614.8289,1260.6050
"Case 186",0,1850,485.1,1300,0.0000,493.1219,522.4526,651.5147,0.0062,51.28,51.28,1.822,37.15,66.18,29.03,1871,1.971e+004,399.5438,17.58,1.321,2.795,2.051,0,20.51,0,9.036,7.596,0.0851,613.2808,1257.7895
"Case 187",0,1860,485.9,1300,0.0000,491.6974,523.8771,651.2101,0.0061,51.05,51.05,1.831,37.04,66,28.96,1866,1.966e+004,401.1495,17.65,1.324,2.796,2.051,0,20.42,0,8.994,7.627,0.0831,611.6499,1254.3643
"Case 188",0,1870,486.8,1300,0.0000,490.2758,525.2989,650.8037,0.0060,50.78,50.78,1.841,36.92,65.82,28.9,1860,1.961e+004,402.7915,17.73,1.327,2.795,2.05,0,20.31,0,8.948,7.658,0.0809,609.9818,1250.4608
"Case 189",0,1880,487.8,1300,0.0000,488.8580,526.7168,650.3770,0.0059,50.59,50.59,1.851,36.84,65.65,28.82,1856,1.956e+004,404.3103,17.79,1.33,2.797,2.05,0,20.24,0,8.913,7.687,0.0790,608.4382,1247.4195
"Case 190",0,1890,488.6,1300,0.0000,487.4468,528.1281,650.0908,0.0058,50.4,50.4,1.861,36.75,65.49,28.73,1851,1.951e+004,405.8479,17.86,1.334,2.799,2.051,0,20.16,0,8.879,7.716,0.0773,606.8756,1244.5432
"Case 191",0,1900,489.5,1300,0.0000,486.0379,529.5370,649.6923,0.0057,50.16,50.16,1.871,36.65,65.31,28.66,1846,1.946e+004,407.4399,17.93,1.337,2.799,2.05,0,20.06,0,8.838,7.746,0.0754,605.2575,1241.0373
"Case 192",0,1910,490.4,1300,0.0000,484.6324,530.9426,649.2487,0.0056,49.93,49.93,1.881,36.54,65.14,28.59,1841,1.94e+004,409.0289,18,1.34,2.8,2.05,0,19.97,0,8.796,7.777,0.0734,603.6421,1237.4644
"Case 193",0,1920,491.3,1300,0.0000,483.2340,532.3411,648.9612,0.0056,49.75,49.75,1.891,36.47,64.97,28.5,1837,1.936e+004,410.5362,18.07,1.343,2.802,2.051,0,19.9,0,8.765,7.805,0.0720,602.1095,1234.8072
"Case 194",0,1930,492.2,1300,0.0000,481.8373,533.7379,648.5424,0.0055,49.53,49.53,1.9,36.37,64.8,28.43,1832,1.93e+004,412.1031,18.14,1.346,2.803,2.051,0,19.81,0,8.726,7.835,0.0702,600.5161,1231.4518
"Case 195",0,1940,493.1,1300,0.0000,480.4438,535.1315,648.0790,0.0054,49.28,49.28,1.91,36.26,64.62,28.36,1827,1.925e+004,413.7141,18.21,1.349,2.803,2.05,0,19.71,0,8.682,7.866,0.0684,598.8777,1227.6973
"Case 196",0,1950,494,1300,0.0000,479.0568,536.5186,647.7314,0.0053,49.09,49.09,1.92,36.18,64.46,28.28,1822,1.92e+004,415.2270,18.27,1.352,2.804,2.051,0,19.64,0,8.649,7.894,0.0669,597.3387,1224.8792
"Case 197",0,1960,494.9,1300,0.0000,477.6715,537.9039,647.2740,0.0052,48.91,48.91,1.93,36.1,64.29,28.19,1818,1.915e+004,416.7251,18.34,1.355,2.806,2.051,0,19.56,0,8.617,7.923,0.0653,595.8142,1221.9388
"Case 198",0,1970,495.8,1300,0.0000,476.2925,539.2830,646.9140,0.0052,48.67,48.67,1.94,36,64.12,28.12,1813,1.91e+004,418.3196,18.41,1.358,2.807,2.051,0,19.47,0,8.576,7.953,0.0638,594.1921,1218.5264
"Case 199",0,1980,496.6,1300,0.0000,474.9175,540.6581,646.5499,0.0051,48.4,48.4,1.95,35.87,63.93,28.06,1807,1.905e+004,419.9855,18.48,1.361,2.806,2.05,0,19.36,0,8.528,7.985,0.0622,592.4974,1214.6176
"Case 200",0,1990,497.6,1300,0.0000,473.5444,542.0313,646.0932,0.0050,48.2,48.2,1.959,35.78,63.76,27.98,1802,1.9e+004,421.5167,18.55,1.364,2.807,2.05,0,19.28,0,8.492,8.014,0.0607,590.9388,1211.4593
"Case 201",0,2000,498.5,1300,0.0000,472.1747,543.4010,645.6150,0.0049,47.99,47.99,1.969,35.7,63.6,27.9,1798,1.895e+004,423.0450,18.62,1.367,2.808,2.05,0,19.2,0,8.456,8.043,0.0593,589.3827,1208.2801
"Case 202",0,2010,499.3,1300,0.0000,470.8122,544.7636,645.2645,0.0049,47.79,47.79,1.979,35.61,63.43,27.82,1793,1.889e+004,424.5891,18.69,1.371,2.809,2.05,0,19.12,0,8.42,8.072,0.0580,587.8109,1205.2510
"Case 203",0,2020,500.2,1300,0.0000,469.4513,546.1246,644.8165,0.0048,47.58,47.58,1.989,35.52,63.26,27.74,1788,1.884e+004,426.1208,18.75,1.374,2.81,2.051,0,19.03,0,8.384,8.101,0.0566,586.2511,1202.1141
"Case 204",0,2030,501.2,1300,0.0000,468.0930,547.4829,644.3241,0.0047,47.38,47.38,1.999,35.43,63.09,27.66,1784,1.879e+004,427.6469,18.82,1.376,2.811,2.051,0,18.95,0,8.348,8.131,0.0553,584.6967,1198.9303
"Case 205",0,2040,502,1300,0.0000,466.7425,548.8335,643.9667,0.0047,47.18,47.18,2.009,35.34,62.93,27.58,1779,1.874e+004,429.1892,18.89,1.38,2.812,2.051,0,18.87,0,8.312,8.16,0.0541,583.1260,1195.9047
"Case 206",0,2050,502.9,1300,0.0000,465.3929,550.1832,643.5021,0.0046,46.97,46.97,2.019,35.25,62.76,27.5,1774,1.869e+004,430.7183,18.96,1.383,2.813,2.051,0,18.79,0,8.276,8.189,0.0528,581.5683,1192.7601
"Case 207",0,2060,503.9,1300,0.0000,464.0459,551.5303,642.9946,0.0045,46.77,46.77,2.028,35.16,62.59,27.43,1770,1.864e+004,432.2419,19.02,1.386,2.814,2.051,0,18.71,0,8.24,8.218,0.0515,580.0156,1189.5702
"Case 208",0,2070,504.7,1300,0.0000,462.7072,552.8690,642.6365,0.0045,46.52,46.52,2.038,35.05,62.41,27.36,1764,1.859e+004,433.8708,19.09,1.389,2.814,2.051,0,18.61,0,8.196,8.249,0.0503,578.3566,1185.9747
"Case 209",0,2080,505.6,1300,0.0000,461.3687,554.2076,642.1528,0.0044,46.27,46.27,2.048,34.94,62.23,27.29,1759,1.854e+004,435.4813,19.17,1.392,2.813,2.05,0,18.51,0,8.152,8.279,0.0491,576.7154,1182.2647
"Case 210",0,2090,506.5,1300,0.0000,460.0326,555.5437,641.6270,0.0043,46.09,46.09,2.058,34.86,62.07,27.21,1755,1.849e+004,436.9597,19.23,1.395,2.815,2.05,0,18.43,0,8.12,8.308,0.0479,575.2080,1179.3503
"Case 211",0,2100,507.4,1300,0.0000,458.7060,556.8704,641.2779,0.0043,45.87,45.87,2.068,34.76,61.9,27.13,1750,1.844e+004,438.5328,19.3,1.398,2.815,2.05,0,18.35,0,8.081,8.337,0.0469,573.6048,1176.1526
"Case 212",0,2110,508.3,1300,0.0000,457.3783,558.1982,640.7731,0.0042,45.63,45.63,2.078,34.66,61.72,27.06,1745,1.839e+004,440.1202,19.37,1.401,2.815,2.05,0,18.25,0,8.039,8.368,0.0457,571.9865,1172.5704
"Case 213",0,2120,509.2,1300,0.0000,456.0527,559.5238,640.2221,0.0041,45.45,45.45,2.087,34.58,61.56,26.98,1740,1.834e+004,441.5931,19.43,1.404,2.816,2.05,0,18.18,0,8.007,8.396,0.0447,570.4840,1169.6495
"Case 214",0,2130,510.1,1300,0.0000,454.7353,560.8413,639.8002,0.0041,45.27,45.27,2.097,34.51,61.4,26.89,1736,1.829e+004,443.0802,19.5,1.407,2.818,2.051,0,18.11,0,7.976,8.424,0.0437,568.9673,1166.8795
